| source                                      | basename                   | familyname            | variants | origPixelSize | origAscent | origDescent | winFix | pixelSize | ascent | descent | winHt | marked | weight | italic  | tags  |
| xorg-misc-misc/9x18.bdf                     | Misc-Fixed-9x18            | Misc Fixed 918        |          | 18            | 14         | 4           | 0      |           |        |         |       |        |        |         | fixed |
| xorg-misc-misc/9x18B.bdf                    | Misc-Fixed-9x18B           | Misc Fixed 918        | Bold     | 18            | 14         | 4           | 0      |           |        |         |       |        | Bold   |         | fixed |
| xorg-misc-misc/10x20.bdf                    | Misc-Fixed-10x20           | Misc Fixed 1020       |          | 20            | 16         | 4           | 0      |           |        |         |       |        |        |         | fixed |
| xorg-sony-misc/8x16.bdf                     | Sony-Fixed-8x16            | Sony Fixed 816        |          | 16            | 14         | 2           | 0      |           |        |         |       |        |        |         | fixed |
| xorg-sony-misc/12x24.bdf                    | Sony-Fixed-12x24           | Sony Fixed 1224       |          | 24            | 22         | 2           | 0      |           |        |         |       |        |        |         | fixed |


        # sizes selectable in notepad
        #        8, 9, 10, 11, 12, 14, 16, 18, 20, 22, 24, 26, 28, 36, 48, 72
        #
        # [6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 20, 22, 24, 26, 28, 36, 48, 72].map(x => Math.round(x * 4 / 3))
        #==============================================================================
        # [ 8, 9, 11, 12, 13, 15, 16, 19, 21, 24, 27, 29, 32, 35, 37, 48, 64, 96 ]
        #==============================================================================



e
